location_id,address,city,state,zip_code
146,4700 BLK  DORSET AVE,CHEVY CHASE,MD,20815
147,2500 BLK  GLENALLAN AVE,SILVER SPRING,MD,20906
148,7600 BLK  LAYTONIA DR,GAITHERSBURG,MD,20877
149,3900 BLK  BLACKBURN LA,BURTONSVILLE,MD,20866
150,2300 BLK  GLENALLAN AVE,SILVER SPRING,MD,20906
151,4400 BLK  SKYMIST TER,OLNEY,MD,20832
152,2300 BLK  GLENALLAN AVE,SILVER SPRING,MD,20906
153,7200 BLK  13TH AVE,TAKOMA PARK,MD,20912
154,700 BLK  MONROE ST,ROCKVILLE,MD,20850
155,7400 BLK  JACKSON AVE,TAKOMA PARK,MD,20912
156,7200 BLK  13TH AVE,TAKOMA PARK,MD,20912
157,1  BLK  MONROE ST,ROCKVILLE,MD,20850
158,200 BLK  HALPINE WALK CT,ROCKVILLE,MD,20851
159,1800 BLK  YALE PL,ROCKVILLE,MD,20850
160,19000 BLK  PARTRIDGE WOOD DR,GERMANTOWN,MD,20874
161,15300 BLK  DURANT ST,SILVER SPRING,MD,20905
,,,,
163,1  BLK  SCOTTSBURY CT,GERMANTOWN,MD,20876
164,1300 BLK  PICCARD DR,ROCKVILLE,MD,20850
165,7000 BLK  ARLINGTON RD,BETHESDA,MD,20814
166,1000 BLK  WINDRUSH LA,SANDY SPRING,MD,20860
,,,,
,,,,
169,7400 BLK  BALTIMORE AVE,TAKOMA PARK,MD,20912
170,7700 BLK  MAPLE AVE,TAKOMA PARK,MD,20912
171,6700 BLK  WISCONSIN AVE,CHEVY CHASE,MD,20815
172,6500 BLK  POPLAR AVE,TAKOMA PARK,MD,20912
173,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904
174,1200 BLK  POTOMAC VALLEY RD,ROCKVILLE,MD,20850
175,1000 BLK  MILESTONE DR,SILVER SPRING,MD,20904
176,11600 BLK  STEWART LA,SILVER SPRING,MD,20904
,,,,
,,,,
179,800 BLK  UNIVERSITY BLV,SILVER SPRING,MD,20903
180,17200 BLK  KING JAMES WAY,GAITHERSBURG,MD,20877
181,8000 BLK  GRAMERCY BLV,DERWOOD,MD,20855
